toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate,cdpp,pl_perturbed
7033.01,29953537,PC,08h54m34.02s,133.641742,-45d29m01.78s,-45.483829,8.604,0.055,-0.055,0.0,-152.628,0.05,-0.05,0.0,2460013.337525,0.002946,-0.002946,0,0.7312783,2.1e-06,-2.1e-06,0,1.289,0.286,-0.286,0,322.0,28.9896,-28.9896,0,1.7324,0.132642,-0.132642,0,2334.8,,,,1936.0,,,,10.2097,0.006,-0.006,0,137.386,0.567,-0.567,0,5508.0,133.5,-133.5,0,4.45,0.08,-0.08,0,0.97,0.05,-0.05,0,2024-08-14 18:27:28,2025-01-25 12:03:24,520.1454212494809 ppm,1.6100410729021215
5319.01,246965431,CP,02h20m51.25s,35.213556,+23d31m13.59s,23.520441,41.969,0.122,-0.122,0.0,-86.743,0.084,-0.084,0.0,2459884.041681,0.003152,-0.003152,0,4.0785273,1.7e-05,-1.7e-05,0,1.561,0.553,-0.553,0,4530.0,40.2943,-40.2943,0,3.74681,0.617629,-0.617629,0,38.7885,,,,695.0,,,,12.0828,0.006,-0.006,0,61.171,0.2085,-0.2085,0,3580.0,124.3,-124.3,0,4.77,0.18,-0.18,0,0.48,0.07,-0.07,0,2022-02-28 23:27:40,2025-01-24 12:04:09,879.3164720406457 ppm,3.506951274064913
5082.01,437011608,PC,07h06m16.7s,106.569578,+22d40m59.33s,22.683148,-92.348,0.08,-0.08,0.0,-78.817,0.07,-0.07,0.0,2460284.802643,0.000871,-0.000871,0,4.2403543,7.4e-06,-7.4e-06,0,2.353,0.354,-0.354,0,842.0,25.8007,-25.8007,0,2.64301,0.127163,-0.127163,0,255.637,,,,1113.0,,,,7.6253,0.006,-0.006,0,43.1406,0.0966,-0.0966,0,5670.0,110.1,-110.1,0,4.5,0.07,-0.07,0,0.93,0.04,-0.04,0,2022-01-06 23:39:42,2025-01-21 12:03:19,90.877653693598 ppm,2.6722277213578267
6054.01,392681545,CP,03h45m20.88s,56.337007,+60d21m03.3s,60.350917,-54.987,0.048,-0.048,0.0,-4.789,0.05,-0.05,0.0,2459913.121951,0.005122,-0.005122,0,7.4903271,0.0026372,-0.0026372,0,5.800713,0.4518768,-0.4518768,0,225.5988767,20.958628,-20.958628,0,2.5277726,0.7809674,-0.7809674,0,526.6956422,,,,1221.8268955,,,,7.4961,0.006,-0.006,0,79.407,0.2038,-0.2038,0,6111.67,119.142,-119.142,0,4.08398,0.0776287,-0.0776287,0,1.61211,0.0704171,-0.0704171,0,2023-02-08 21:13:40,2025-01-17 12:03:04,160.28615512260419 ppm,1.9506200646191183
6054.02,392681545,CP,03h45m20.88s,56.337007,+60d21m03.3s,60.350917,-54.987,0.048,-0.048,0.0,-4.789,0.05,-0.05,0.0,2459919.916627,0.005012,-0.005012,0,12.5759948,0.0067453,-0.0067453,0,6.529918,0.5311639,-0.5311639,0,284.6855263,24.776178,-24.776178,0,2.7981797,0.9795008,-0.9795008,0,263.9394474,,,,1028.0064164,,,,7.4961,0.006,-0.006,0,79.407,0.2038,-0.2038,0,6111.67,119.142,-119.142,0,4.08398,0.0776287,-0.0776287,0,1.61211,0.0704171,-0.0704171,0,2023-02-08 21:13:38,2025-01-17 12:03:04,160.28615512260419 ppm,2.805877234861834
4410.01,280803800,PC,02h57m35.11s,44.396282,-66d30m44.99s,-66.512498,-52.17,0.042,-0.042,0.0,-71.911,0.041,-0.041,0.0,2458335.665026,0.002901,-0.002901,0,26.0179101,7.81e-05,-7.81e-05,0,4.5258048,0.7819283,-0.7819283,0,766.5356589,58.0331,-58.0331,0,2.5512622,1.602267,-1.602267,0,26.2295252,,,,577.1880843,,,,10.5978,0.006,-0.006,0,162.42,0.4915,-0.4915,0,5489.0,186.0,-186.0,0,4.44576,0.292411,-0.292411,0,0.913252,0.0455879,-0.0455879,0,2021-08-27 01:10:52,2025-01-16 12:03:04,390.5440134937288 ppm,1.1398366136484392
6657.01,96475638,PC,17h39m52.05s,264.966891,-50d34m29.37s,-50.574825,-18.565,0.066,-0.066,0.0,-47.494,0.052,-0.052,0.0,2460115.228364,0.002694,-0.002694,0,4.0610981,1.1e-05,-1.1e-05,0,1.964,0.484,-0.484,0,558.0,33.4641,-33.4641,0,2.57627,0.157206,-0.157206,0,306.57,,,,1165.0,,,,8.5861,0.006,-0.006,0,96.6949,0.38085,-0.38085,0,6193.0,126.0,-126.0,0,4.38,0.08,-0.08,0,1.16,0.05,-0.05,0,2023-09-21 21:31:27,2025-01-16 12:03:04,1198.3975583599938 ppm,2.4590276096941004
6671.01,53843023,PC,21h50m33.33s,327.638875,-26d33m23.44s,-26.556512,9.312,0.073,-0.073,0.0,-13.399,0.07,-0.07,0.0,2458328.036098,0.002888,-0.002888,0,,,,0,2.4755873,0.633131,-0.633131,0,1566.5840348,190.24838,-190.24838,0,3.1919762,2.97876,-2.97876,0,16.5103821,,,,514.1135268,,,,10.3852,0.006,-0.006,0,92.1219,0.4299,-0.4299,0,4713.0,125.814,-125.814,0,4.49053,0.094358,-0.094358,0,0.815268,0.0598116,-0.0598116,0,2023-09-21 21:33:47,2025-01-16 12:03:04,346.52941905718626 ppm,2.289585437000204
6699.01,341405597,PC,21h08m16.7s,317.069584,-63d15m01.8s,-63.2505,118.343,0.076,-0.076,0.0,-45.719,0.09,-0.09,0.0,2460132.340656,1.6154,-1.6154,0,5.322002,0.0069556,-0.0069556,0,3.193,2.615,-2.615,0,955.0,1895.49,-1895.49,0,3.84201,1.71526,-1.71526,0,150.91,,,,976.0,,,,10.4012,0.006,-0.006,0,85.8463,0.40385,-0.40385,0,4716.0,125.4,-125.4,0,4.56,0.1,-0.1,0,0.75,0.05,-0.05,0,2023-10-05 21:57:26,2025-01-16 12:03:04,367.90533099571235 ppm,3.7037282860558194
6826.01,55450156,PC,04h41m29.21s,70.371711,-60d24m27.2s,-60.407556,26.668,0.043,-0.043,0.0,-9.86,0.051,-0.051,0.0,2460197.006591,0.004869,-0.004869,0,6.4375108,2.5e-05,-2.5e-05,0,2.572,0.565,-0.565,0,730.0,64.95,-64.95,0,2.10567,0.158896,-0.158896,0,99.2729,,,,879.0,,,,12.1851,0.006,-0.006,0,232.898,1.1485,-1.1485,0,5203.0,130.3,-130.3,0,4.65,0.08,-0.08,0,0.74,0.04,-0.04,0,2023-11-02 22:52:18,2025-01-16 12:03:04,659.8938591000175 ppm,2.1376136376509414
6858.01,201254754,PC,00h06m02.92s,1.512156,-58d56m06.8s,-58.935221,-72.394,0.045,-0.045,0.0,-10.398,0.043,-0.043,0.0,2460202.53261,0.002584,-0.002584,0,3.3024845,7.5e-06,-7.5e-06,0,1.465,0.271,-0.271,0,1241.0,112.811,-112.811,0,1.73871,0.106468,-0.106468,0,26.3567,,,,631.0,,,,11.8272,0.007,-0.007,0,61.1486,0.1202,-0.1202,0,3634.0,157.0,-157.0,0,4.75,0.01,-0.01,0,0.49,0.01,-0.01,0,2023-12-12 20:13:35,2025-01-16 12:03:04,728.7567386301849 ppm,1.6406886903942668
6904.01,387294150,PC,20h49m26.22s,312.359236,-57d28m48.22s,-57.480062,114.305,0.264,-0.264,0.0,-61.803,0.19,-0.19,0.0,2459038.047363,0.002775,-0.002775,0,16.8267434,6.54e-05,-6.54e-05,0,2.4103679,0.5465589,-0.5465589,0,1999.9128429,198.9449,-198.9449,0,2.9646311,0.9967878,-0.9967878,0,7.2034173,,,,417.8345932,,,,11.4353,0.008,-0.008,0,80.8057,1.03145,-1.03145,0,3944.0,157.0,-157.0,0,4.62692,0.012008,-0.012008,0,0.628984,0.0193077,-0.0193077,0,2024-02-15 23:13:00,2025-01-16 12:03:04,1278.6926900010144 ppm,3.2251532455827174
7049.01,337217173,PC,02h39m17.83s,39.824291,+07d28m15.01s,7.470835,480.817,0.158,-0.158,0.0,-137.416,0.149,-0.149,0.0,2460214.323255,0.001619,-0.001619,0,40.3833862,0.0001082,-0.0001082,0,2.345,0.327,-0.327,0,6555.0,311.225,-311.225,0,2.03391,0.0858321,-0.0858321,0,0.283517,,,,203.0,,,,11.5546,0.008,-0.008,0,20.0182,0.0459,-0.0459,0,3236.0,157.0,-157.0,0,4.98108,0.0126495,-0.0126495,0,0.25,0.01,-0.01,0,2024-09-24 23:10:43,2025-01-16 12:03:04,644.8586974764232 ppm,2.055663721019506
6911.01,428812049,PC,02h53m24.22s,43.350899,+83d30m38.23s,83.51062,45.85,0.047,-0.047,0.0,-29.624,0.044,-0.044,0.0,2460450.504798,0.031378,-0.031378,0,16.2521679,0.0004975,-0.0004975,0,8.194,1.831,-1.831,0,199.0,15.9945,-15.9945,0,2.7672,0.211285,-0.211285,0,378.338,,,,1228.0,,,,8.96016,0.006,-0.006,0,219.07,1.431,-1.431,0,6696.0,222.3,-222.3,0,3.89,0.09,-0.09,0,2.24,0.1,-0.1,0,2024-02-15 23:14:20,2025-01-15 12:03:15,184.01828277323932 ppm,2.7042104671764307
6983.01,368628986,PC,02h34m58.13s,38.742213,+09d50m44.9s,9.845805,40.04,0.074,-0.074,0.0,-28.402,0.079,-0.079,0.0,2459465.951361,0.006386,-0.006386,0,31.1571613,0.0003804,-0.0003804,0,5.9839922,0.6515402,-0.6515402,0,336.5990841,39.077557,-39.077557,0,2.6946338,0.7391092,-0.7391092,0,62.3345745,,,,716.6415747,,,,9.57157,0.006,-0.006,0,171.467,1.2505,-1.2505,0,6317.08,146.669,-146.669,0,4.2542,0.0972437,-0.0972437,0,1.3783,0.0716583,-0.0716583,0,2024-05-30 23:28:45,2025-01-15 12:03:15,216.6639585841899 ppm,2.7630846538068754
5159.01,286712787,PC,09h31m08.63s,142.785956,+20d01m09.63s,20.019343,0.145,0.186,-0.186,0.0,-67.278,0.209,-0.209,0.0,2459526.144884,0.002689,-0.002689,0,5.8365098,5.52e-05,-5.52e-05,0,2.6998895,0.3766988,-0.3766988,0,256.7044803,25.219856,-25.219856,0,1.6134349,0.2802013,-0.2802013,0,133.1006284,,,,866.292942,,,,8.6739,0.006,-0.006,0,55.1788,0.1828,-0.1828,0,5259.0,119.5,-119.5,0,4.53,0.08,-0.08,0,0.854084,0.0465779,-0.0465779,0,2022-02-08 22:12:12,2025-01-11 12:03:18,114.2429751577675 ppm,1.6619805321766368
